,Categoria,Provincia,Comune,Denominazione,Indirizzo,Telefono,Orari,Biglietto intero,Biglietto ridotto,Note,scheda
111,Musei e Gallerie,Palermo,Terrasini,Museo regionale di Terrasini,Lungomare Peppino Impastato,"Centralino 091.8810989 - Personale di custodia 091.8683327
e-mail: poloartemoderna.pa.ou3@regione.sicilia.it","LunedÃ¬ chiuso, da martedÃ¬ a domenica dalle 09:00 alle 19:00.
Ingresso gratuito la prima domenica del mese.","6,00 â‚¬","3,00 â‚¬",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=8&amp;IdSito=66
112,Monumentale,Messina,Taormina,Castello di Tauro,,090 36746435 (URP),Chiuso per ristrutturazione,,,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=143&amp;IdSito=115
113,Aree archeologiche,Messina,Acquedolci,Area Archeologica. Grotta di San Teodoro,Contrada Favara,0941730005,"Tutti i giorni compresi i festivi da aprile a settembre, ore 09:00/19:00.",Gratuito,Gratuito,,
114,Musei archeologici,Caltanissetta,Caltanissetta,Museo regionale interdisciplinare di Caltanissetta,Contrada Santo Spirito,0934567062 - fax 0934567086,"Tutti i giorni 9,00-13,00 e 15,30-19,00. Chiuso l'ultimo lunedÃ¬ del mese","4,00 â‚¬","2,00 â‚¬",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=18&amp;IdSito=16
115,Musei archeologici,Caltanissetta,Gela,Museo archeologico regionale di Gela,Corso Vittorio Emanuele 1,0933912626,"In ora solare da lunedÃ¬ a sabato, dalle 9,00 alle 19,00 (ultimo ingresso ore 18,30). CHIUSO I FESTIVI tranne la prima domenica di ogni mese con ingresso libero.","4,00 â‚¬","2,00 â‚¬",Apertura tutte le domeniche di giugno e luglio,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=19&amp;IdSito=19
116,Antiquaria,Agrigento,Sciacca,Zona archeologica di Tranchina,Contrada Tranchina - Sciacca,Centralino Soprintendenza BB.CC.AA. di Agrigento 0922552611,"Da lunedÃ¬ a venerdÃ¬ dalle 9 alle 13,00. Tutti i Sabati,le Domeniche e le FestivitÃ  chiusura totale",Gratuito,Gratuito,,
117,Monumentale,Messina,Spadafora,Castello di Spadafora,Via Nazionale,090 36894435 (URP),"Tutti i giorni dalle 9,00 alle 19,00. Domenica e festivi su prenotazione",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=144&amp;IdSito=116
118,Musei archeologici,Enna,Aidone,Museo regionale di Aidone,Largo Torres Truppia 1,093587307,"Aperto tutti i giorni, compresi i festivi, dalle 8,30 alle 19,30,(orario continuato)ultimo ingresso alle ore 18.00","6,00 â‚¬","3,00 â‚¬","Prevista vendita biglietti ridotti e cumulativi di due o tre siti tra: Area arch. di Morgantina, Museo di Aidone e Villa del Casale.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=22&amp;IdSito=40
119,Aree archeologiche,Palermo,San Cipirello,Area archeologica Monte Jato,"Sede uffici: Contrada Perciana - Case D'Alia, 90040 - San Cipirello/Monreale",0918577943,"Area archeologica: da martedÃ¬ a sabato 9,30 - 16,00 (ultimo ingresso ore 14,00). Domeniche e festivi 9,30 - 13,30 (ultimo ingresso ore 12,00). Antiquarium: 9,30 - 18,30. Domeniche e festivi 9,30 - 13,00. Lunedi chiusura",Ingresso libero,Ingresso libero,"Dipende dal Polo regionale di Palermo per i Parchi e i Musei archeologici. Per visitare l'area scavi, posta a 900 metri, Ã¨ consigliabile calzare scarpe e indossare abiti adeguati.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=94&amp;IdSito=64
120,Monumentale,Trapani,Partanna,Castello Grifeo,Piazza B. Graffeo,0924 923970,"Tutti i giorni dalle 9,30 alle 12,30 e dalle 15,30 alle 18,30. La biglietteria chiude mezz'ora prima.","4,00 â‚¬","2,00 â‚¬","Biglietto cumulativo d'ingresso con il Parco archeologico di Selinunte, con tariffa intera di â‚¬ 6,00 e ridotta di â‚¬ 3,00, la cui validitÃ  Ã¨ di giorni tre dalla data di emissione",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=185&amp;IdSito=151
121,Monumentale,Messina,Messina,Monastero Maria SS. della Valle - Badiazza,Alveo del torrente Scala-Badiazza,(+39) 348 88 31 172,"Su richiesta dei visitatori, previo contatto telefonico con la segreteria dell'Associazione ''Il Centauro Olnus'' come da avviso affisso all'ingresso della Chiesa e pubblicato sul sito dell'Associazione ''www.ilcentauroolnus.org''.",Gratuito,Gratuito,,
122,Musei archeologici,Palermo,Palermo,Museo archeologico regionale Antonino Salinas di Palermo,"Piazza Olivella - UFFICI Via Bara all'Olivella 24, PALERMO",0916116807 - 0916116806 - FAX 0916110740,"ESTIVI: Da martedÃ¬ a sabato, dalle 9.30 alle 18,30. Domeniche e festivi dalle 9,30 alle 13,30. LunedÃ¬ chiuso",Gratuito,Gratuito,"N.B.: la Biglietteria cessa il servizio mezz'ora prima della chiusura.
BIBLIOTECA orari di apertura: LunedÃ¬,MartedÃ¬,GiovedÃ¬,VenerdÃ¬ ore 9,30-13,30; MercoledÃ¬:9,30-17,30.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=27&amp;IdSito=53
123,Aree archeologiche,Agrigento,Sambuca di Sicilia,Area archeologica di Monte Adranone,Contrada Adragna - Sambuca di Sicilia,0925 946083,"Da lunedÃ¬ a sabato dalle 9 alle 19.00. Prima domenica di ogni mese dalle 9.00 alle 13.00.Tutte le altre Domeniche, comprese le FestivitÃ  chiusura totale","6,00 â‚¬","3,00 â‚¬",Il biglietto comprende l'ingresso alla zona archeologica di Monte Adranone / Museo di Palazzo Panitteri (Sambuca di Sicilia) / Antiquarium di Monte Kronio (Sciacca).,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=158&amp;IdSito=12
124,Monumentale,Caltanissetta,Riesi,Complesso Minerario di Trabia Tallarita,Contrada Palladio - Ex Centrale Elettrica Palladio,0934554964,"GIUGNO-LUGLIO Da lunedÃ¬ a domenica, dalle ore 8,00 alle ore 19,30.","4,00 â‚¬","2,00 â‚¬",Per ragioni di sicurezza Ã¨ visitabile soltanto l'area del Museo delle Solfare,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=99&amp;IdSito=136
125,Aree archeologiche,Catania,Aci Catena,Area archeologica Santa Venera al Pozzo,Via Alimena 7,0957150508 (Uffici del Polo Museale),"da lunedÃ¬ a sabato dalle ore 9.00 alle ore 13,30",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=93&amp;IdSito=34
126,Aree archeologiche,Siracusa,Siracusa,Area archeologica Castello Eurialo,Piazza Eurialo 1,0931711773,LUGLIO 2017 CHIUSO,"4,00 â‚¬","2,00 â‚¬",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=103&amp;IdSito=74
127,Monumentale,Ragusa,Scicli,Convento della Croce,"Scicli, Collina della Croce snc",0932249440/456 info:polomuseale.rg@regione.sicilia.it,Tutti i giorni feriali dalle 9 alle 13. Festivi: Solo la prima domenica del mese,"2,00 â‚¬","1,00 â‚¬",Aperture straordinarie solo su prenotazione ai numeri indicati. La prima domenica del mese ingresso gratuito. Dipende dal Polo regionale di Ragusa per i siti archeologici e per i Parchi archeologici di Kamarina e Cava Ispica,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=98&amp;IdSito=137
128,Aree archeologiche,Messina,Taormina,Museo naturalistico regionale di Isolabella e Villa Caronia,"Via Nazionale 109 - Taormina, Sicily, Italy",Tel: 0942628738 Fax 0942628738,"Dalle 9.00 alle 16, chiuso il lunedÃ¬. Maggiori informazioni su www.parconaxostaormina.it, vedi Orari e modalitÃ  di visita. Possibile biglietto unico per la visita di Naxos e Isolabella (intero â‚¬ 6, ridotto â‚¬ 3 - validitÃ  giorni tre)","4,00 â‚¬","2,00 â‚¬","Per motivi di sicurezza l'afflusso dei visitatori sarÃ  regolato in gruppi di non piÃ¹ 15 unitÃ 
Audio Tour LINK IZI.travel 
https://izi.travel/it/italia/guide-di-citta-in-sicilia-taormina
Audio Tour - Scarica App su iziTRAVEL",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=154&amp;IdSito=114
129,Monumentale,Messina,Casalvecchio Siculo,Abbazia e Monastero dei SS. Pietro e Paolo dâ€™AgrÃ²,Contrada San Pietro,"09036746433, URP della Soprintendenza di Messina",Da lunedÃ¬ a venerdÃ¬ dalle 9 alle 13. MercoledÃ¬ dalle 15.30 alle 17.30. Domenica e festivi su prenotazione,Gratuito,Gratuito,,
